text,sentiment
"Overall, the story is set in a city environment.",neutral
The plot is set in a city environment for most of the runtime.,neutral
"According to the review, this movie was released in 2020.",neutral
"Overall, this film was directed by a known director.",neutral
"According to the review, the plot was released in 2020.",neutral
The movie is set in a city environment for most of the runtime.,neutral
This movie has several main characters for most of the runtime.,neutral
"Overall, the story takes place over several days.",neutral
"Overall, this film is two hours long.",neutral
This movie is two hours long.,neutral
This film has a runtime close to two hours in the story.,neutral
The movie includes indoor and outdoor scenes for most of the runtime.,neutral
The plot is set in a city environment in the story.,neutral
This film is set in a city environment in the story.,neutral
The movie was directed by a known director in the story.,neutral
The film contains multiple dialogue scenes in the story.,neutral
"Overall, this film is two hours long.",neutral
This movie contains multiple dialogue scenes.,neutral
The story was released in 2020 in the story.,neutral
The plot is two hours long for most of the runtime.,neutral
"According to the review, the plot includes action sequences.",neutral
The film was released in 2020 for most of the runtime.,neutral
"According to the review, the movie belongs to the drama genre.",neutral
"Overall, the plot has a runtime close to two hours.",neutral
"Overall, this movie is set in a city environment.",neutral
"According to the review, the plot was discussed by viewers online.",neutral
The plot is available in multiple languages for most of the runtime.,neutral
The story has a runtime close to two hours.,neutral
The movie is set in a city environment in the story.,neutral
The movie belongs to the drama genre for most of the runtime.,neutral
The plot follows a family based storyline.,neutral
This film was directed by a known director.,neutral
This movie includes indoor and outdoor scenes in the story.,neutral
This film includes action sequences.,neutral
The film takes place over several days in the story.,neutral
The plot follows a family based storyline.,neutral
"According to the review, this film was released in 2020.",neutral
The story contains multiple dialogue scenes in the story.,neutral
The story was directed by a known director for most of the runtime.,neutral
The film takes place over several days.,neutral
"Overall, this movie was discussed by viewers online.",neutral
"Overall, the film features a small main cast.",neutral
"According to the review, this movie takes place over several days.",neutral
This movie was directed by a known director.,neutral
"According to the review, the story includes action sequences.",neutral
The plot contains multiple dialogue scenes in the story.,neutral
"According to the review, the movie includes action sequences.",neutral
"Overall, the movie features a small main cast.",neutral
The plot belongs to the drama genre in the story.,neutral
This movie has a runtime close to two hours for most of the runtime.,neutral
The plot is set in a city environment.,neutral
The film has several main characters.,neutral
"According to the review, the plot is set in a city environment.",neutral
The movie was discussed by viewers online in the story.,neutral
The plot takes place over several days for most of the runtime.,neutral
"Overall, this film was discussed by viewers online.",neutral
The plot was discussed by viewers online in the story.,neutral
"Overall, the story includes action sequences.",neutral
The story is two hours long in the story.,neutral
This movie is set in a city environment in the story.,neutral
"Overall, this film belongs to the drama genre.",neutral
"According to the review, the plot has a runtime close to two hours.",neutral
"According to the review, the story takes place over several days.",neutral
The plot includes action sequences in the story.,neutral
This film is two hours long for most of the runtime.,neutral
"Overall, the movie follows a family based storyline.",neutral
The story is set in a city environment.,neutral
The film takes place over several days for most of the runtime.,neutral
This movie contains multiple dialogue scenes in the story.,neutral
"Overall, this movie has a runtime close to two hours.",neutral
The movie belongs to the drama genre for most of the runtime.,neutral
The story belongs to the drama genre for most of the runtime.,neutral
"Overall, this movie was discussed by viewers online.",neutral
This film features a small main cast.,neutral
"Overall, this movie was directed by a known director.",neutral
The film includes action sequences for most of the runtime.,neutral
The film includes action sequences for most of the runtime.,neutral
"Overall, the movie was released in 2020.",neutral
The film has several main characters.,neutral
"According to the review, the story contains multiple dialogue scenes.",neutral
"Overall, the film features a small main cast.",neutral
The story includes action sequences in the story.,neutral
The film includes action sequences for most of the runtime.,neutral
This movie is set in a city environment in the story.,neutral
The plot was released in 2020 in the story.,neutral
The story was directed by a known director for most of the runtime.,neutral
"Overall, this film has several main characters.",neutral
"Overall, this film features a small main cast.",neutral
"Overall, this movie is available in multiple languages.",neutral
"According to the review, the film includes indoor and outdoor scenes.",neutral
This film contains multiple dialogue scenes.,neutral
The story is available in multiple languages in the story.,neutral
"According to the review, this film follows a family based storyline.",neutral
The plot includes indoor and outdoor scenes.,neutral
"Overall, this film was discussed by viewers online.",neutral
"According to the review, this film includes action sequences.",neutral
The plot is two hours long for most of the runtime.,neutral
The film belongs to the drama genre for most of the runtime.,neutral
The story was directed by a known director.,neutral
"Overall, the story was discussed by viewers online.",neutral
The movie is set in a city environment for most of the runtime.,neutral
The film belongs to the drama genre for most of the runtime.,neutral
The plot has a runtime close to two hours.,neutral
This movie is two hours long for most of the runtime.,neutral
The plot includes action sequences for most of the runtime.,neutral
"According to the review, the story is available in multiple languages.",neutral
The film has a runtime close to two hours in the story.,neutral
"According to the review, the plot is available in multiple languages.",neutral
"According to the review, the film has a runtime close to two hours.",neutral
This movie belongs to the drama genre in the story.,neutral
The movie includes indoor and outdoor scenes.,neutral
"Overall, the film was discussed by viewers online.",neutral
This film has several main characters for most of the runtime.,neutral
"According to the review, this film has several main characters.",neutral
This film was directed by a known director.,neutral
The story is available in multiple languages in the story.,neutral
"Overall, the film has several main characters.",neutral
The plot was released in 2020.,neutral
"Overall, the plot is two hours long.",neutral
"Overall, the story has a runtime close to two hours.",neutral
"Overall, the movie features a small main cast.",neutral
This movie includes indoor and outdoor scenes for most of the runtime.,neutral
The movie takes place over several days for most of the runtime.,neutral
The plot was directed by a known director.,neutral
This film has a runtime close to two hours.,neutral
"Overall, this movie features a small main cast.",neutral
The plot features a small main cast.,neutral
This movie includes action sequences for most of the runtime.,neutral
"Overall, the plot follows a family based storyline.",neutral
This film features a small main cast.,neutral
The movie belongs to the drama genre in the story.,neutral
The story features a small main cast.,neutral
The plot belongs to the drama genre in the story.,neutral
This film follows a family based storyline in the story.,neutral
"According to the review, the film includes indoor and outdoor scenes.",neutral
This film has several main characters in the story.,neutral
The movie is set in a city environment.,neutral
"Overall, this film includes indoor and outdoor scenes.",neutral
The film features a small main cast in the story.,neutral
"Overall, this movie contains multiple dialogue scenes.",neutral
"Overall, this movie features a small main cast.",neutral
The plot contains multiple dialogue scenes for most of the runtime.,neutral
This movie was discussed by viewers online.,neutral
The film belongs to the drama genre for most of the runtime.,neutral
"According to the review, this movie is two hours long.",neutral
This movie was discussed by viewers online in the story.,neutral
The plot contains multiple dialogue scenes in the story.,neutral
The plot belongs to the drama genre for most of the runtime.,neutral
"Overall, the plot contains multiple dialogue scenes.",neutral
The plot has a runtime close to two hours in the story.,neutral
