text,sentiment
"In my opinion, the plot was confusing.",negative
The pacing was slow.,negative
"For me, the movie was boring.",negative
The movie was boring.,negative
"In my opinion, the movie was forgettable.",negative
"In my opinion, the ending was disappointing.",negative
"For me, the scenes felt too long.",negative
"In my opinion, the acting felt forced.",negative
"In my opinion, the characters were unconvincing.",negative
"Overall, the movie was boring.",negative
"By the end, the film made little sense.",negative
"By the end, the screenplay was weak.",negative
"Overall, the direction felt messy.",negative
"By the end, the story was poorly written.",negative
"In my opinion, the film was badly executed.",negative
"By the end, the film was dull.",negative
"Overall, the performances felt flat.",negative
"In my opinion, the scenes felt too long.",negative
"Overall, the characters were unconvincing.",negative
"By the end, the plot was confusing.",negative
"By the end, the story was weak.",negative
"Throughout the movie, the performances felt flat.",negative
The performances felt flat.,negative
"For me, the plot was confusing.",negative
"For me, the direction felt messy.",negative
"By the end, the film was dull.",negative
The performances felt flat.,negative
"Overall, the screenplay was weak.",negative
"By the end, the direction felt messy.",negative
"Overall, the ending was disappointing.",negative
"In my opinion, the movie was predictable.",negative
"By the end, the plot was confusing.",negative
"By the end, the ending was disappointing.",negative
"Throughout the movie, the direction felt messy.",negative
"In my opinion, the story was weak.",negative
"Overall, the dialogue was awkward.",negative
"In my opinion, the ending was disappointing.",negative
The script was poor.,negative
The story was weak.,negative
"Throughout the movie, the scenes felt too long.",negative
"Overall, the film made little sense.",negative
"Throughout the movie, the film made little sense.",negative
"In my opinion, the scenes felt too long.",negative
"Throughout the movie, the story was poorly written.",negative
"Throughout the movie, the acting felt forced.",negative
"By the end, the performances felt flat.",negative
"Overall, the film was dull.",negative
The experience was frustrating.,negative
"In my opinion, the pacing was slow.",negative
"In my opinion, the story was weak.",negative
The script was poor.,negative
"In my opinion, the ending was disappointing.",negative
"Throughout the movie, the plot was confusing.",negative
"By the end, the plot was confusing.",negative
"For me, the ending was disappointing.",negative
"In my opinion, the ending was disappointing.",negative
"For me, the film was badly executed.",negative
"By the end, the screenplay was weak.",negative
"Throughout the movie, the story was weak.",negative
"For me, the plot was confusing.",negative
"Overall, the film made little sense.",negative
The pacing was slow.,negative
"Overall, the direction felt messy.",negative
"Throughout the movie, the dialogue was awkward.",negative
"By the end, the story was poorly written.",negative
